path|romaji
kusamakura-by-soseki-natsume-00023|go sai no kenran ha onozukara shin gan ni utsuru .
kusamakura-by-soseki-natsume-00024|tada o no ga sumu yo wo , kaku kanji e te ,
kusamakura-by-soseki-natsume-00025|rei dai hou sun no kamera ni gyou kikon da kuno zokukai wo
kusamakura-by-soseki-natsume-00026|kiyoshiku uraraka ni osame ure ba taru .
kusamakura-by-soseki-natsume-00027|kono yue ni mu sei no shijin ni ha ikku naku ,
kusamakura-by-soseki-natsume-00028|mu shoku no gaka ni ha sekken naki mo , kaku jin sei wo kanji eru no ten ni oi te ,
kusamakura-by-soseki-natsume-00029|kaku bonnou wo ge da tsu suru no ten ni oi te ,
kusamakura-by-soseki-natsume-00030|mata kono fu dou fuji no ken kon wo kon ryuu shi eru no ten ni oi te ,
kusamakura-by-soseki-natsume-00031|gari shi yoku noki han wo soutou suru no ten ni oi te ,
kusamakura-by-soseki-natsume-00032|-   sen kin no ko yori mo , ban jou no kun yori mo ,
kusamakura-by-soseki-natsume-00033|arayuru zokukai no chou ji yori mo koufuku de aru .
kusamakura-by-soseki-natsume-00034|yo ni sumu koto nijuu nen ni shi te , sumu ni ka i aru yo to shitsu ta .
kusamakura-by-soseki-natsume-00035|nijuu go nen ni shi te meian ha hyou ri no gotoku ,
kusamakura-by-soseki-natsume-00036|nichi no ataru tokoro ni ha kitto kage ga sasu to satotsu ta .
kusamakura-by-soseki-natsume-00037|sanjuu no konnichi ha kou omou te iru .     yorokobi no fukaki toki urei iyoiyo fukaku ,
kusamakura-by-soseki-natsume-00038|tanoshimi no ooinaru hodo kurushimi mo ookii .
kusamakura-by-soseki-natsume-00039|kore wo kirihanasou to suru to mi ga mote nu .
kusamakura-by-soseki-natsume-00040|katazukeyou to sure ba yo ga tata nu . kin ha daiji da ,
kusamakura-by-soseki-natsume-00041|daiji na mono ga fuere ba neru ma mo shinpai darou .
kusamakura-by-soseki-natsume-00042|koi ha ureshii , ureshii koi ga tsumore ba , koi wo se nu mukashi ga kaette koishikaro .
kusamakura-by-soseki-natsume-00043|kakuryou no kata ha suuhyaku man nin no ashi wo sasae te iru .
kusamakura-by-soseki-natsume-00044|senaka ni ha omoi tenka ga obusatsu te iru .
kusamakura-by-soseki-natsume-00045|umai mono mo kuwa ne ba oshii . sukoshi kue ba akitara nu .
kusamakura-by-soseki-natsume-00046|zonbun kue ba ato ga fu yukai da .
kusamakura-by-soseki-natsume-00047|… … yo no kangae ga koko made hyouryuu shi te rai ta toki ni ,
kusamakura-by-soseki-natsume-00048|yo no uso ku ha totsuzen suwari no warui kaku ishi no hashi wo fumi so ku natsu ta .
kusamakura-by-soseki-natsume-00049|he ikou wo tamotsu tame ni , suwa ya to mae ni tobidashi ta saso kuga , shiso n ji no umeawase wo suru to tomo ni ,
kusamakura-by-soseki-natsume-00050|yo no koshi ha guai yoku hou san shaku hodo na iwa no ue ni ori ta .
kusamakura-by-soseki-natsume-00051|kata ni kake ta enogu hako ga waki no shita kara o dori dashi ta dake de ,
kusamakura-by-soseki-natsume-00052|saiwai to nan no koto mo nakatsu ta .
kusamakura-by-soseki-natsume-00053|tachiagaru toki ni mukou wo miru to , michi kara hidari no hou ni
kusamakura-by-soseki-natsume-00054|baketsu wo fuse ta you na mine ga sobie te iru . sugi ka hinoki ka wakara nai ga
kusamakura-by-soseki-natsume-00055|nemoto kara itadaki made kotogotoku aoguroi naka ni ,
kusamakura-by-soseki-natsume-00056|yamazakura ga usuakaku dandara ni tanabii te , tsugi me ga shikato mie nu kurai moya ga koi .
kusamakura-by-soseki-natsume-00057|sukoshi temae ni hage yama ga ichi tsu , gu n wo nukinde te mayu ni semaru . hage ta sokumen ha
kusamakura-by-soseki-natsume-00058|kyojin no ono de kezuri satsu ta ka , ei doki heimen wo yake ni tani no soko ni uzume te iru .
kusamakura-by-soseki-natsume-00059|teppen ni ichi hon mieru no ha akamatsu darou .
kusamakura-by-soseki-natsume-00060|eda no kan no sora sae hakkiri shi te iru . ikute ha ni chou hodo de kire te iru ga ,
kusamakura-by-soseki-natsume-00061|takai tokoro kara akai ketsu to ga ugoi te kuru no wo miru to ,
kusamakura-by-soseki-natsume-00062|nobore ba asuko he deru no darou . michi ha sukoburu nangi da .
kusamakura-by-soseki-natsume-00063|tsuchi wo narasu dake nara sahodo te ma mo iru mai ga ,
kusamakura-by-soseki-natsume-00064|tsuchi no naka ni ha ookina ishi ga aru . tsuchi ha taira ni shi te mo ishi ha taira ni nara nu .
kusamakura-by-soseki-natsume-00065|ishi ha kiri kudai te mo , iwa ha shimatsu ga tsuka nu .
kusamakura-by-soseki-natsume-00066|hori kuzushi ta tsuchi no ue ni yuuzen to sobadatsu te ,
kusamakura-by-soseki-natsume-00067|ware ra no tame ni michi wo yuzuru keshiki ha nai .
kusamakura-by-soseki-natsume-00068|mukou de kika nu ue ha norikosu ka , mawara nakere ba nara n .
kusamakura-by-soseki-natsume-00069|iwa no nai tokoro de sae aru kiyoku ha nai .
kusamakura-by-soseki-natsume-00070|sayuu ga takaku tte , chuushin ga kubon de ,
kusamakura-by-soseki-natsume-00071|marude ichi kan haba wo sankaku ni kutsu te , sono chouten ga mannaka wo tsuranui te iru to hyoushi te mo yoi .
kusamakura-by-soseki-natsume-00072|michi wo iku to unwa n yori kawazoko wo wataru to iu hou ga tekitou da .
kusamakura-by-soseki-natsume-00073|motoyori isogu tabi de nai kara , burabura to nana magari he kakaru .
kusamakura-by-soseki-natsume-00074|tachimachi ashi no shita de hibari no koe ga shi dashi ta .
kusamakura-by-soseki-natsume-00075|tani wo mioroshi ta ga , doko de nai teru ka kage mo katachi mo mie nu .
kusamakura-by-soseki-natsume-00076|tada koe dake ga akiraka ni buneru . sesseto sewashiku , taema naku nai te iru .
kusamakura-by-soseki-natsume-00077|hou ikuri no kuuki ga ichimen ni nomi ni sasa re te itatamare nai you na ki ga suru .
kusamakura-by-soseki-natsume-00078|ano tori no naku ne ni ha shunji no yoyuu mo nai .
kusamakura-by-soseki-natsume-00079|nodoka na haru no nichi wo naki tsukushi , naki akashi ,
kusamakura-by-soseki-natsume-00080|mata naki kurasa nakere ba ki ga suma n to mieru . sono ue doko made mo nobotsu te iku ,
kusamakura-by-soseki-natsume-00081|itsu made mo nobotsu te iku . unjaku ha kitto kumo no naka de shinu ni soui nai . noboritsume ta ageku ha ,
kusamakura-by-soseki-natsume-00082|nagare te kumo ni itsu te , tadayou te iru uchi ni katachi ha kie te naku natsu te ,
kusamakura-by-soseki-natsume-00083|tada koe dake ga sora no uchi ni nokoru no ka mo shire nai . iwa kado wo surudoku mawatsu te ,
kusamakura-by-soseki-natsume-00084|anma nara matsu sakasama ni otsuru tokoro wo , kiwadoku migi he kire te ,
kusamakura-by-soseki-natsume-00085|yoko ni miorosu to , nanohana ga ichimen ni mieru .
kusamakura-by-soseki-natsume-00086|unjaku ha asuko he ochiru no ka to omotsu ta . ii
kusamakura-by-soseki-natsume-00087|ya , ano kogane no hara kara tobiagatsu te kuru no ka to omotsu ta .
kusamakura-by-soseki-natsume-00088|tsugi ni ha ochiru unjaku to , agaru hibari ga juu moji ni surechigau no ka to omotsu ta .
kusamakura-by-soseki-natsume-00089|saigo ni , ochiru toki mo , noboru toki mo ,
kusamakura-by-soseki-natsume-00090|mata juu moji ni surechigau toki ni mo genki yoku naki tsuzukeru darou to omotsu ta .
kusamakura-by-soseki-natsume-00091|haru ha nemuku naru . neko ha nezumi wo toru koto wo wasure ,
kusamakura-by-soseki-natsume-00092|ningen ha shakkin no aru koto wo wasureru . toki ni ha jibun no tamashii no idokoro sae wasure te shoutai nakunaru .
kusamakura-by-soseki-natsume-00093|tada nanohana wo tooku nozon da toki ni me ga sameru .
kusamakura-by-soseki-natsume-00094|unjaku no koe wo kii ta toki ni tamashii no arika ga han zen suru .
kusamakura-by-soseki-natsume-00095|unjaku no naku no ha kuchi de naku no de ha nai , tamashii zentai ga naku no da .
kusamakura-by-soseki-natsume-00096|tamashii no katsudou ga koe ni araware ta mono no uchi de ,
kusamakura-by-soseki-natsume-00097|are hodo genki no aru mono ha nai . aa yukai da .
kusamakura-by-soseki-natsume-00098|kou omotsu te , kou yukai ni naru no ga shi de aru .
kusamakura-by-soseki-natsume-00099|tachimachi shiere   no unjaku no shi wo omoidashi te ,
kusamakura-by-soseki-natsume-00100|kuchi no uchi de oboe ta tokoro dake anshou shi te ken ta ga , oboe te iru tokoro ha ni san ku shika nakatsu ta .
kusamakura-by-soseki-natsume-00101|sono nisan ku no naka ni konna no ga aru .
kusamakura-by-soseki-natsume-00102|( mae wo mi te ha , shirie wo ken te ha , monohoshi to , ako ga ruru kanawa re .
kusamakura-by-soseki-natsume-00103|hara kara no , warai to ie do , kurushimi no , soko ni aru beshi .
kusamakura-by-soseki-natsume-00104|utsukushi ki , kiwami no uta ni , kanashi sa no , kiwami no omoi , komoru to zo shire
kusamakura-by-soseki-natsume-00105|) naruhodo ikura shijin ga koufuku de mo ,
kusamakura-by-soseki-natsume-00106|ano unjaku no you ni omoikitsu te , isshin furan ni , zengo wo boukyaku shi te ,
kusamakura-by-soseki-natsume-00107|waga yorokobi wo utau wake ni ha iku mai . seiyou no shi ha muron no koto , shina no shi ni mo ,
kusamakura-by-soseki-natsume-00108|yoku ban koku no urei nado to iu ji ga aru .
kusamakura-by-soseki-natsume-00109|shijin da kara bankoku de shirouto nara ichi gou de sumu ka mo shire nu .
kusamakura-by-soseki-natsume-00110|shi te miru to shijin ha tsune no nin yori mo kurou sei de ,
kusamakura-by-soseki-natsume-00111|bon kotsu no bai ijou ni shinkei ga eibin na no ka mo shire n .
kusamakura-by-soseki-natsume-00112|chouzoku no yorokobi mo arou ga , muryou no kanashimi mo ookarou .
kusamakura-by-soseki-natsume-00113|son nara ba shijin ni naru no mo kangae mono da .
kusamakura-by-soseki-natsume-00114|shibaraku ha michi ga taira de , migi ha zou ki yama ,
kusamakura-by-soseki-natsume-00115|hidari ha nanohana no ken tsuzuke de aru . ashi no shita ni tokidoki tanpopo wo fumitsukeru .
kusamakura-by-soseki-natsume-00116|nokogiri no you na ha ga enryo naku shihou he no shi te
kusamakura-by-soseki-natsume-00117|mannaka ni kiiro na tama wo yougo shi te iru .
kusamakura-by-soseki-natsume-00118|nanohana ni ki wo tora re te , fumitsuke ta ato de , kinodoku na koto wo shi ta to , furimui te miru to ,
kusamakura-by-soseki-natsume-00119|kiiro na shu ha izen to shi te nokogiri no naka ni chin zashi te iru .
kusamakura-by-soseki-natsume-00120|nonki na mono da . mata kangae wo tsuzukeru .
kusamakura-by-soseki-natsume-00121|shijin ni urei ha tsukimono ka mo shire nai ga ,
kusamakura-by-soseki-natsume-00122|ano hibari wo kiku kokoromochi ni nare ba mijin no kumo nai . nanohana wo ken te mo ,
kusamakura-by-soseki-natsume-00123|tada ureshiku te mune ga odoru bakari da . tanpopo mo sono touri , sakura mo     sakura ha itsu ka mie naku natsu ta . kou
kusamakura-by-soseki-natsume-00124|yama no naka he rai te shizen no kei butsu ni sessure ba ,
kusamakura-by-soseki-natsume-00125|miru mono mo kiku mono mo omoshiroi . omoshiroi dake de betsudan no kurushimi mo okora nu .
kusamakura-by-soseki-natsume-00126|okoru to sure ba ashi ga kutabire te , umai mono ga tabe rare nu kurai no koto darou .
kusamakura-by-soseki-natsume-00127|shikashi kurushimi no nai no ha naze darou .
kusamakura-by-soseki-natsume-00128|tada kono keshiki wo ichi pu ku no eto shi te mi , ichi
kusamakura-by-soseki-natsume-00129|kan no shi to shi te yomu kara de aru . ga de ari
kusamakura-by-soseki-natsume-00130|shi de aru ijou ha jimen wo moratsu te , kaitaku suru ki ni mo nara ne ba , tetsudou wo kake te
kusamakura-by-soseki-natsume-00131|hitomouke suru ryou ken mo okora nu . tada kono keshiki ga     hara no tashi ni mo nara nu ,
kusamakura-by-soseki-natsume-00132|gekkyuu no oginai ni mo nara nu kono keshiki ga
kusamakura-by-soseki-natsume-00133|keshiki to shi te nomi , yo ga kokoro wo raku mase tsutsu aru kara
kusamakura-by-soseki-natsume-00134|kurou mo shinpai mo tomonawa nu no darou . shizen no chikara ha koko ni oi te tattoi .
kusamakura-by-soseki-natsume-00135|gojin no seijou wo shun koku ni to uyashi te junko to shi te
kusamakura-by-soseki-natsume-00136|jun naru shikyou ni ira shimuru no ha shizen de aru .
kusamakura-by-soseki-natsume-00137|koi ha utsukushikaro , takashi mo utsukushikaro , chuukun aikoku mo kekkou darou .
kusamakura-by-soseki-natsume-00138|shikashi jishin ga sono kyoku ni atare ba rigai no tsumuji ni makikoma re te , utsukushi ki koto ni mo , kekkou na koto ni mo ,
kusamakura-by-soseki-natsume-00139|me ha kuran de shimau . shitagatsu te doko ni shi ga aru ka jishin ni hageshi kaneru .
kusamakura-by-soseki-natsume-00140|kore ga wakaru tame ni ha , wakaru dake no yoyuu no aru dai san mono no chii ni tata ne ba nara nu .
kusamakura-by-soseki-natsume-00141|sansha no chii ni tate ba koso shibai ha mi te omoshiroi .
kusamakura-by-soseki-natsume-00142|shousetsu mo ken te omoshiroi . shibai wo ken te omoshiroi nin mo ,
kusamakura-by-soseki-natsume-00143|shousetsu wo yon de omoshiroi nin mo , jiko no rigai ha tana he age te iru .
kusamakura-by-soseki-natsume-00144|ken tari yon dari suru kan dake ha shijin de aru .
kusamakura-by-soseki-natsume-00145|sore sura , futsuu no shibai ya shousetsu de ha ninjou wo manukare nu .
kusamakura-by-soseki-natsume-00146|kurushin dari , ikatsu tari , sawai dari , nai tari suru .
kusamakura-by-soseki-natsume-00147|miru mono mo itsu ka sono naka ni douka shi te
kusamakura-by-soseki-natsume-00148|kurushin dari , ikatsu tari , sawai dari , nai tari suru .
kusamakura-by-soseki-natsume-00149|torie ha ri yoku ga majira nu to iu ten ni sonsuru ka mo shire nu ga ,
kusamakura-by-soseki-natsume-00150|kou ra nu dake ni sono hoka no jou sho ha tsune yori ha yokei ni katsudou suru darou . sore ga iya da .
kusamakura-by-soseki-natsume-00151|kurushin dari , ikatsu tari , sawai dari , nai tari ha nin no yo ni tsukimono da .
kusamakura-by-soseki-natsume-00152|yo mo sanjuu nen no kan sore wo shi tooshi te , akiaki shi ta .
kusamakura-by-soseki-natsume-00153|aki aki shi ta ue ni shibai ya shousetsu de onaji shigeki wo kurikaeshi te ha taihen da .
kusamakura-by-soseki-natsume-00154|yo ga hossuru shi ha sonna seken teki no ninjou wo kobu suru you na mono de ha nai .
kusamakura-by-soseki-natsume-00155|zokunen wo houki shi te , shibaraku de mo jin kai wo hanare ta kokoromochi ni nareru shi de aru .
kusamakura-by-soseki-natsume-00156|ikura kessaku de mo ninjou wo hanare ta shibai ha nai , rihi wo zesshi ta shousetsu ha sukunakarou . doko made mo seken wo deru koto ga deki nu no ga kare ra no tokushoku de aru .
kusamakura-by-soseki-natsume-00157|koto ni seiyou no shi ni naru to , jinji ga konpon ni naru kara
kusamakura-by-soseki-natsume-00158|iwayuru shii ka no junsui naru mono mo kono kyou wo ge da tsu suru koto wo shira nu .
kusamakura-by-soseki-natsume-00159|doko made mo doujou da to ka , ai da to ka , seigi da to ka , jiyuu da to ka , uki yo no kankou ba ni aru mono dake de you wo benji te iru .
kusamakura-by-soseki-natsume-00160|ikura shiteki ni natsu te mo jimen no ue wo kake te arui te ,
kusamakura-by-soseki-natsume-00161|zeni no kanjou wo wasureru hima ga nai . shiere   ga hibari wo kii te tansoku shi ta no mo muri ha nai .
kusamakura-by-soseki-natsume-00162|ureshii koto ni touyou no shii ka ha soko wo ge da tsu shi ta no ga aru . kiku wo toru touri no moto ,
kusamakura-by-soseki-natsume-00163|yuuzen to shi te nanza n wo miru . tada sore giri no uchi ni
kusamakura-by-soseki-natsume-00164|atsukurushii yononaka wo marude wasure ta koukei ga shutsu te kuru .
kusamakura-by-soseki-natsume-00165|kaki no mukou ni tonari no musume ga nozoi teru wake de mo nakere ba ,
kusamakura-by-soseki-natsume-00166|nanza n ni shinyuu ga houshoku shi te iru shidai de mo nai .
kusamakura-by-soseki-natsume-00167|chouzen to shutsu seken teki ni rigai sontoku no ase wo nagashisatsu ta kokoromochi ni nareru .
kusamakura-by-soseki-natsume-00168|hitori yuukou no uchi ni zashi , kin wo danji te mata chou shou su ,
kusamakura-by-soseki-natsume-00169|shin rin hito shira zu , mei ge tsuki tari te ai terasu . tada nijuu ji no uchi ni
kusamakura-by-soseki-natsume-00170|yuuni betsu ken kon wo kon ryuu shi te iru . kono kenkon no kudoku ha
kusamakura-by-soseki-natsume-00171|( hototogisu ) ya ( kon jiki ya sha ) no kudoku de ha nai .
kusamakura-by-soseki-natsume-00172|kisen , kisha , kenri , gimu ,
kusamakura-by-soseki-natsume-00173|doutoku , rei gi de tsukare hate ta nochi ni , subete wo boukyaku shi te gussuri nekomu you na kudoku de aru .
kusamakura-by-soseki-natsume-00174|nijuu seiki ni suimin ga hitsuyou nara ba ,
kusamakura-by-soseki-natsume-00175|nijuu seiki ni kono shusse kan teki no shi aji ha taisetsu de aru .
kusamakura-by-soseki-natsume-00176|oshii koto ni ima no shi wo tsukuru nin mo , shi wo yomu nin mo minna , seiyou nin ni kabure te iru kara ,
kusamakura-by-soseki-natsume-00177|wazawaza nonki na hen shuu wo ukabe te kono tougen ni sakanoboru mono ha nai you da .
kusamakura-by-soseki-natsume-00178|yo ha motoyori shijin wo shokugyou ni shi te ora n kara , ou iya e n mei no kyou gai wo
kusamakura-by-soseki-natsume-00179|ima no yo ni fu kyoushi te hirogeyou to iu kokorogake mo nani mo nai .
kusamakura-by-soseki-natsume-00180|tada jibun ni ha kou iu kankyou ga engei kai yori mo
kusamakura-by-soseki-natsume-00181|butou kai yori mo kusuri ni naru you ni omowa reru .
kusamakura-by-soseki-natsume-00182|fuausuto yori mo , hamuretto yori mo arigataku kangae rareru .
kusamakura-by-soseki-natsume-00183|kou yatsu te , tada hitori enogu hako to san kyaku ki wo katsui de haru no yama ji wo nosonoso aruku no mo mattaku kore ga tame de aru .
kusamakura-by-soseki-natsume-00184|enmei , oui no shikyou wo chokusetsu ni shizen kara kyuushuu shi te , sukoshi no made mo hinin jou no tenchi ni shouyou shi tai kara no negai . ichi tsu no suikyou da .
kusamakura-by-soseki-natsume-00185|mochiron ningen no ichibu nshi da kara , ikura suki de mo , hi ninjou ha sou nagaku tsuzuku wake ni ha ika nu .
kusamakura-by-soseki-natsume-00186|enmei da tte nen ga ne n juunan zan wo kentsume te i ta no de mo aru mai shi , oui mo konon de takeyabu no naka ni kaya wo tsura zu ni ne ta otoko de mo nakarou .
kusamakura-by-soseki-natsume-00187|yahari amatsu ta kiku ha hanaya he uri kokashi te , hae ta takenoko ha yaoya he haraisage ta mono to omou .
kusamakura-by-soseki-natsume-00188|kou iu yo mo sono touri . ikura unjaku to nanohana ga ki ni itsutsu tatte ,
kusamakura-by-soseki-natsume-00189|yama no naka he nojuku suru hodo hi ninjou ga tsunotsu te ha ora n . konna tokoro de mo ningen ni au .
kusamakura-by-soseki-natsume-00190|jinjinbashori no hookamuri ya , akai koshi maki no ane san ya , toki ni ha ningen yori kao no nagai uma ni made au .
kusamakura-by-soseki-natsume-00191|hyaku man hon no hinoki ni torikakoma re te , kaimen wo nuku nanbyaku shaku ka no kuuki wo non dari hai tari shi te mo ,
kusamakura-by-soseki-natsume-00192|nin no nioi ha nakanaka tore nai . sore dokoro ka ,
kusamakura-by-soseki-natsume-00193|yama wo koe te ochitsuku saki no , koyoi no yado ha na koi no onsen ba da .
kusamakura-by-soseki-natsume-00194|tada , mono ha miyou de dou de mo naru .
kusamakura-by-soseki-natsume-00195|reonarudo ・ da・vinchi ga deshi ni tsuge ta kotoba ni ,
kusamakura-by-soseki-natsume-00196|ano kane no oto wo kike , kane ha ichi tsu da ga ,
kusamakura-by-soseki-natsume-00197|oto ha dou to mo kika reru to aru . hitori no otoko , hitori no onna mo
kusamakura-by-soseki-natsume-00198|miyou shidai de ikayou to mo mitate ga tsuku .
kusamakura-by-soseki-natsume-00199|douse hi ninjou wo shi ni dekake ta tabi da kara , sono tsumori de ningen wo ken tara , u kiyo kouji no nani ken me ni semakurushiku kurashi ta toki to ha chigau darou .
kusamakura-by-soseki-natsume-00200|yoshi mattaku ninjou wo hanareru koto ga deki n de mo , semete o nou ha iken no toki kurai ha
kusamakura-by-soseki-natsume-00201|awai kokoromochi ni hanare sou na mono da . nou ni mo ninjou ha aru . shichi ki ochi de mo ,
kusamakura-by-soseki-natsume-00202|sumi da gawa de mo naka nu to ha hoshou ga deki n .
kusamakura-by-soseki-natsume-00203|shikashi are ha jou san bu ge i shichi fun de miseru waza da .
kusamakura-by-soseki-natsume-00204|ware ra ga nou kara ukeru arigata aji ha gekai no ninjou wo
kusamakura-by-soseki-natsume-00205|yoku sono mama ni utsusu tegiwa kara shutsu te kuru no de ha nai .
kusamakura-by-soseki-natsume-00206|sono mama no ue he geijutsu to iu kimono wo nani mai mo kise te ,
kusamakura-by-soseki-natsume-00207|yononaka ni aru majiki yuuchou na furumai wo suru kara de aru .
kusamakura-by-soseki-natsume-00208|shibaraku kono ri yo chuu ni okoru dekigoto to ,
kusamakura-by-soseki-natsume-00209|tabi naka ni deau ningen wo nou no shikumi to
kusamakura-by-soseki-natsume-00210|nou yakusha no sho sa ni mitate tara dou darou . marude ninjou wo suteru wake ni ha iku mai ga ,
kusamakura-by-soseki-natsume-00211|ne ga shiteki ni deki ta tabi da kara , hi ninjou no yari tsuide ni ,
kusamakura-by-soseki-natsume-00212|narubeku sekken shi te soko made ha kogitsuke tai mono da .
kusamakura-by-soseki-natsume-00213|nanza n ya yuukou to hatachi no chigatsu ta mono ni soui naishi ,
kusamakura-by-soseki-natsume-00214|mata hibari ya nanohana to issho ni suru koto mo deki mai ga ,
kusamakura-by-soseki-natsume-00215|narubeku kore ni chikazuke te , chikazuke eru kagiri ha
kusamakura-by-soseki-natsume-00216|onaji kansatsu ten kara ningen wo mi te mi tai . bashou to iu otoko ha
kusamakura-by-soseki-natsume-00217|makuramoto he uma ga ibari suru no wo sae gana koto to mitate te hotsu kuni shi ta . yo mo kore kara au jinbutsu wo
kusamakura-by-soseki-natsume-00218|-   hyakushou mo , chounin mo , mura yakuba no shoki mo , jii san mo baa san mo     kotogotoku dai shizen no tenkei to shi te egakidasa re ta mono to katei shi te shu konashi te miyou .
kusamakura-by-soseki-natsume-00219|mottomo gachuu no jinbutsu to chigatsu te , kare ra ha o no ga jishi katte na mane wo suru darou .
kusamakura-by-soseki-natsume-00220|shikashi futsuu no shousetsu ie no you ni sono katte na mane no konpon wo sagutsu te , shinri sayou ni tachiitsutsu tari , jin ji kattou no sen gi date wo shi te ha zoku ni naru .
kusamakura-by-soseki-natsume-00221|ugoi te mo kamawa nai . gachuu no ningen ga ugoku to mire ba sashitsukae nai .
kusamakura-by-soseki-natsume-00222|gachuu no jinbutsu ha dou ugoi te mo heimen igai ni shutsu rareru mono de ha nai .
kusamakura-by-soseki-natsume-00223|heimen igai ni tobidashi te , rippou teki ni hataraku to omoe ba koso , kotchi to shoutotsu shi tari ,
kusamakura-by-soseki-natsume-00224|rigai no koushou ga otsu tari shi te mendou ni naru .
kusamakura-by-soseki-natsume-00225|mendou ni nare ba naru hodo biteki ni ken te iru wake ni ika naku naru . kore kara au ningen ni ha
kusamakura-by-soseki-natsume-00226|chouzen to tooki ue kara kenbutsu suru ki de , ninjou no denki ga muyami ni souhou de okora nai you ni suru .
kusamakura-by-soseki-natsume-00227|sou sure ba aite ga ikura hatarai te mo , kochira no futokoro ni ha
kusamakura-by-soseki-natsume-00228|youi ni tobikome nai wake da kara , tsumari hae no mae he tatsu te ,
kusamakura-by-soseki-natsume-00229|gachuu no jinbutsu ga gamen no uchi wo achirakochira to sawagi mawaru no wo miru no to onaji wake ni naru .
kusamakura-by-soseki-natsume-00230|aida san shaku mo hedate te ire ba ochitsui te ken rareru .
kusamakura-by-soseki-natsume-00231|abuna ge nashi ni ken rareru . kotoba wo kae te ie ba ,
kusamakura-by-soseki-natsume-00232|rigai ni ki wo ubawa re nai kara , zenryoku wo age te
kusamakura-by-soseki-natsume-00233|kare ra no dousa wo geijutsu no houmen kara kansatsu suru koto ga dekiru .
kusamakura-by-soseki-natsume-00234|yonen mo naku bi ka bi de nai ka to ka n shiki suru koto ga dekiru .
kusamakura-by-soseki-natsume-00235|koko made kesshin wo shi ta toki , sora ga ayashiku natsu te rai ta .
kusamakura-by-soseki-natsume-00236|nie kire nai kumo ga , atama no ue he motarekakatsu te i ta to omotsu ta ga , itsu no ma ni ka , kuzure dashi te , shi hou ha tada kumo no umi ka to ayashima reru naka kara ,
kusamakura-by-soseki-natsume-00237|shitoshito to haru no ame ga ori dashi ta . nanohana ha tokuni touri sugoshi te ,
kusamakura-by-soseki-natsume-00238|ima ha yama to yama no kan wo iku no da ga , ame no ito ga komayaka de
kusamakura-by-soseki-natsume-00239|hotondo kiri wo azamuku kurai da kara , hedatari ha dore hodo ka wakara nu . tokidoki kaze ga rai te ,
kusamakura-by-soseki-natsume-00240|takai kumo wo fukiharau toki , usuguroi yama no se ga migite ni mieru koto ga aru .
kusamakura-by-soseki-natsume-00241|nani de mo tani ichi tsu hedate te mukou ga myaku no hashitsu te iru tokoro rashii . hidari ha sugu yama no suso to mieru .
kusamakura-by-soseki-natsume-00242|fukaku komeru ame no oku kara matsu rashii mono ga , chokuchoku kao wo dasu .
